scientificName	cont_trait_0	cat_trait_0	pvr_0	pvr_1
T0	0.16682241654542201	1	-0.1691460746431872	-1.0915347349446516
T3	0.6233869507227082	1	0.4262728621572311	-0.3499771505107514
T6	0.28254780175023214	1	-0.29546794636213786	-1.2470694782414595
T8	0.4420418887163645	1	-0.44069548458684393	-1.8311398850465221
T9	0.347078563858642	1	-0.31066696189501597	-1.2524716477256392
T10	0.4840516353453974	1	0.0019900571134088543	-0.879455185743468
T12	-0.25669245302269755	1	-0.5291921449182777	-1.35676335481591
T13	0.750835046557329	1	-0.4207528505476066	-1.4482806821737577
T14	-0.006761237646275712	1	-0.42598187053566755	-1.5521125844274593
T15	0.29219502963333566	1	-0.6370736394588965	-1.0710724383563193
T18	0.9997449763276789	1	-0.42096410739891166	-1.4510898927428117
T20	0.4140981808373131	1	-0.5327700915709185	-1.400525838897477
T21	-0.24870366270361857	1	-0.6124759627929772	-1.1204109433256688
T24	0.35435600538326384	1	-0.8632781326924023	-0.6173590743060797
T25	0.4342136032576832	0	-0.5325232696611379	-1.3989863621328802
T26	0.8236506321449425	0	-0.5669608461764092	-1.8517287517082524
T27	0.905630510726773	1	0.3579881956733374	-0.4727646729671316
T29	0.18927991221357682	1	-0.44095376705119455	-1.8400335002191273
T30	0.8405503058106062	1	0.3530206941004715	-0.44735010112453283
T31	0.43755286371276464	1	-0.4424501278784201	-1.8713349612652947
T36	0.3745378902165545	1	-0.4410509590177878	-1.8368788566600254
T37	0.16635942860419742	1	0.7614784701429091	0.12664745126890897
T39	-0.3587938339980668	1	-0.44216611627747754	-1.8549542897390017
T41	0.3029949005093456	1	-0.445946344503173	-1.9427920152618963
T42	-0.2076438201418998	1	0.42770449232341967	-0.3545561515755324
T43	0.9334532182604389	1	-0.766576570420488	-0.8227631902875676
T45	-0.2541302679757508	1	-0.7877306586713986	-0.7778880346372936
T47	-0.5245395746103296	1	0.42782843355713057	-0.35495302642599164
T48	-0.3536008878738267	1	-0.44254945172316845	-1.861170687398491
T49	-0.07281790776663283	1	0.42787616920745075	-0.3551059625219647
T52	-0.18871734485806335	1	-0.9309932504210088	-0.48413392100855196
T54	-0.07689024394694466	1	-0.45730043112117763	-2.1789569719941917
T58	0.014483343829338743	1	-1.1809994986827865	0.11104353388274536
T59	-0.5427119842544897	1	-0.9297275419985858	-0.4815747002624656
T60	0.3341093186094931	1	-0.45893835531029875	-2.2136003529162394
T61	-0.00893480310178685	1	-0.45961156795405966	-2.2277751322570443
T62	-0.5632986994093333	1	-0.4783183629512251	-2.6323501062616557
T63	0.09634990804299863	1	-0.956621518576065	-0.41601908245353375
T66	-0.9796476329581638	1	0.7594655573936159	0.11820226972794871
T67	2.1071942413997213	1	0.8043654494456188	0.17212678450125088
T68	-0.3001845822156446	1	0.8208806726475829	0.2013288499204895
T71	-0.5668625467642461	1	0.8582011593319605	0.32947575023173925
T72	-0.7223121502849	1	0.783112571926349	0.16135311362686913
T73	0.23482150654186965	1	0.7652668228819482	0.12911471197801225
T74	-1.8831606088757988	1	0.8166302164508821	0.19336847094801268
T75	-0.3122845900626914	1	-0.9332565420004756	-0.4887095183751732
T76	1.0181396635134123	1	0.3582507334868992	-0.47410571675647756
T77	1.885204813110922	1	0.3584516459595646	-0.47513576276929714
T80	0.15125770526013585	1	-1.0798976503065432	-0.13029186809669413
T81	-1.107791168679912	1	0.7898061947180822	0.1668234786919856
T82	-1.1043827543858884	1	0.7716784550182003	0.12619174547873827
T83	0.1773988800424366	0	0.8292754677581943	0.21123300293119932
T84	0.019620966840430517	0	0.8277119972338843	0.20825590437449662
T86	-0.3504534445007843	1	0.821499377569837	0.20217270659082134
T87	0.9788586524236584	1	0.8473844855219643	0.219645886213746
T88	1.328649619248786	1	-0.5822840028313052	-2.0601178175509975
T89	0.025308938863892336	0	0.8425352945090551	0.22693300363348454
T90	-0.190857693980051	1	0.8236577013718753	0.20423623503886393
T92	0.033450320551759755	1	-1.1731169975971822	0.09342305018528149
T93	1.8428051952516933	1	-0.5682311136300557	-1.868758010131477
T94	0.8794457339280524	1	-1.1893204808634508	0.13252451263419993
T96	0.6019742492041532	0	-0.5706693029387226	-1.899327241090505
T97	-0.11586333147858428	1	0.8991818034856732	0.4201089039782464
T98	0.4434375354772472	1	-1.192788757029819	0.13760085132447522
T99	0.7813025073950992	1	0.764490716554528	0.12860977266809345
T100	0.935884155816937	0	-1.312920053429298	0.43336879950666457
T101	-1.9330742339700904	1	0.8076240810039261	0.18495888541650757
T104	1.4004401171425531	0	0.8323988305377822	0.21433466957512587
T105	-0.8487412305803667	0	0.8236027699853461	0.20418357629836337
T106	-2.0678020055641846	1	0.8043300862896428	0.18210741506176623
T107	-1.050411741675445	0	0.8874138440568337	0.39398913291679816
T108	-1.2637023974465804	0	0.8542632831097451	0.24112122729109525
T109	-1.3274197043503553	0	0.8937178031779063	0.2906680797216129
T110	0.5545245008411515	0	0.8432012062738058	0.22762676653910147
