scientificName	cont_trait_0	cat_trait_0
T0	0.12087666258553934	1
T2	0.14152299595810666	1
T3	0.13908862051613619	1
T4	1.0675817830223313	1
T5	0.11634115665829685	1
T6	-0.014007236775420552	1
T7	0.6291421036824256	1
T9	0.23502280925002492	1
T10	0.0312618811210809	1
T11	0.09218553415492824	1
T12	-0.014055629796794991	1
T13	-0.30964879717007426	1
T14	0.0526244126947452	1
T15	1.0325551481549082	1
T16	0.4107275231991021	1
T17	0.1769688666232818	1
T18	-0.04462969113605526	1
T20	0.32372461834702887	1
T21	1.4458210579382265	1
T22	0.5180706479271039	1
T23	0.3921250163238381	1
T25	0.7266926826148907	1
T27	0.4167284350931984	1
T28	0.6355058949170691	1
T29	-0.01581682954538105	1
T30	0.292774507067899	1
T34	-0.314249823827051	1
T35	0.20557941502992053	0
T36	0.42434616634729205	1
T38	-0.44429478667055694	1
T39	0.8630847256291546	1
T41	0.9906670253127934	1
T43	-0.010407794534927517	1
T44	-0.01321441140632546	1
T47	-1.0197634363534775	1
T48	0.7431471038076007	1
T50	1.0117841610922556	1
T51	0.041757238548505896	1
T52	1.078707282548836	0
T55	1.4439958350651922	1
T56	-0.7190699758003745	1
T57	-1.7254226705601616	0
T58	-0.5710706208664484	0
T59	1.1356471066734795	1
T61	-0.1635204862216257	1
T62	1.418271984564879	1
T63	0.31409207958735863	0
T65	1.2414690426157688	1
T68	-1.1079559686009945	1
T69	1.1641624681165241	0
T70	1.1652425350359388	1
T71	0.7063731546789238	1
T72	0.49296965136867765	1
T73	-2.035989940581474	0
T74	0.7149163006816771	1
T76	-0.7105876682574719	1
T77	-1.0035001651840498	1
T78	-0.49742377545317507	1
T79	-0.13449386910584693	1
T81	0.6528094630605986	0
T83	0.8253749900408074	0
T84	-0.059841384378420424	1
T85	1.1074855531005707	0
T86	-0.7968188581831673	1
T87	1.3484984255037935	0
T88	0.32675511231287546	1
T89	1.8461802768451077	1
T90	2.1676683307407667	0
T92	-0.24703567003186616	0
T93	-1.9930891845585827	0
T94	1.3413227396948064	1
T95	0.8306962446618552	1
T96	0.33899694464113905	1
T97	0.5355654989912498	1
T98	0.839958161340705	1
T99	0.4483220279758105	0
T100	1.5761435113865285	1
T101	-1.7692442088858116	1
T102	-0.3309859804645942	1
T105	1.6000204207270776	1
T106	1.7263086301515123	1
T107	0.5198737318749778	1
T108	1.2191096072657215	1
T109	-0.3261043838931967	0
T110	-1.396360781792658	0
T111	-0.11453967543174652	1
T112	-1.781607088018701	1
T113	-0.05852448239132191	1
T115	-0.3924302371941649	1
T116	1.258188328122406	1
T117	0.4089789446706373	1
T118	0.33097805847452333	1
T119	-1.0429907565520142	0
T121	0.5795072583529355	0
T122	1.9272573935090629	0
T123	0.2950360723465352	1
T124	-1.3900550342031979	1
T125	-0.6749143815875382	1
T128	-0.26184759040520494	1
T129	-0.6973468994790295	1
T130	0.3078329161115564	1
T131	0.24000139345046617	1
T132	-1.7949123457277039	0
T133	0.22720385947835697	1
T134	0.1159643834781999	1
T135	0.5616236391035647	0
T137	-0.42634019580929544	0
T139	0.6681752192038909	0
T141	-0.26090066220486313	1
T142	-1.4895852552406181	0
T143	-0.9524772940219676	0
T144	-2.2540591879395455	0
T145	0.7392430557819824	0
T146	-0.5230782254128765	1
T148	-2.3693824784046904	1
T149	2.061715455142451	0
T150	1.1524909515735213	1
T151	-1.292039605976017	0
T152	-1.8484344492903622	0
T153	-1.0566417951231966	0
T154	-0.54586205391532	0
T155	-0.3630058740893306	1
T157	1.1087537343850282	1
T161	-1.369702295736504	0
T162	-1.320999216071797	0
T163	-0.8949771173914451	0
T164	-0.4710518169310674	0
T168	-1.6646659164783133	0
T169	-1.403700278449328	1
T170	-0.5148763220281275	0
T171	-2.197074453328346	0
T172	-0.02546294295241779	1
T173	0.9016068303059709	1
T174	0.012005012693423642	1
T175	-0.963871065864251	0
T178	-1.450734614435409	0
T179	-1.9354648079304175	0
T180	-0.3852672240073691	1
T186	0.14504179955943017	1
T195	0.013464905993511292	1
T199	-1.2669819060357914	0
T204	-1.2153049405130194	0
