scientificName	cont_trait_0	cat_trait_0
T0	-0.09324589707960446	1
T1	-0.43430671710096846	1
T2	-1.152129333523016	1
T3	-0.8108729719303218	1
T4	-0.14310819863889201	1
T5	-0.5090639017131753	1
T6	-0.35420317808839374	1
T7	0.292745341922807	1
T8	-0.43431654748489945	1
T9	-0.08853393374129724	1
T10	-0.5153868336593896	1
T11	-0.5118921635189498	1
T12	-0.525229514175165	0
T13	0.3052480907453737	0
T14	-0.12867063079576707	1
T16	-0.4197141486662337	1
T17	0.7212693373893209	0
T18	-0.17130777933698385	1
T19	0.32836973183469514	1
T20	0.1420035173926607	1
T22	-0.8710077434024677	1
T23	-0.0938369208016973	1
T24	-0.5185223045274117	1
T25	-0.1468946888342796	1
T26	0.033904693221406705	1
T27	0.03317854463953178	1
T28	-0.24825978916540808	0
T29	0.17459487288084927	1
T30	-1.1752131405856714	0
T31	0.513702288446587	1
T32	-0.08330745354544142	1
T33	0.4161504514972138	0
T34	0.1972860269776255	1
T35	0.09182365365194252	1
T36	-0.7912185109678216	1
T37	1.3035241269102364	0
T38	-0.19871638848133952	0
T39	0.4134008885114339	1
T40	-0.1555687747844749	0
T41	-0.2466703343437295	1
T42	0.8523864454219808	0
T43	-0.38598950383869957	1
T44	-1.1166562240857012	1
T45	1.595048901584829	0
T46	-0.5421925365883404	1
T48	0.03661446214161295	1
T49	1.1166502132051597	1
T50	-1.8818269337569158	1
T51	0.4778913610796915	1
T52	-0.36785001329063605	0
T53	-0.2078066140842645	1
T54	0.09214859149496574	1
T55	0.2362925133985778	1
T56	0.9176003324667176	0
T57	0.08118338385664034	1
T58	-0.10834328491919647	0
T59	-0.43800319325189513	1
T60	1.7390185031263887	0
T61	1.5613310852268303	0
T63	-0.15253523148074777	0
T65	-0.08089068886713563	1
T68	0.019086711733527304	0
T69	2.0124979163126557	1
T70	0.3516645741919418	1
T71	0.7325880201374136	0
T72	1.2997874337879243	0
T73	0.11057557055648126	1
T74	0.09892264446903476	1
T75	0.9345175396639287	0
T76	0.30895681046688694	1
T77	0.5178503013212051	1
T78	1.9083000873913754	0
T79	0.14602340125164978	0
T80	0.1690499328767192	0
T81	1.0752903384047163	1
T82	-1.656276219096135	1
T83	-0.39429504888932976	1
T84	0.24110821435455848	0
T85	-1.1378052429337007	1
T86	0.1002235968500871	1
T87	2.0892007745463177	0
T89	-0.1790491184734146	1
T90	-0.21095517789284318	1
T91	0.12830657508390175	0
T93	-2.04317119359572	1
T94	-1.3395920372455596	0
T95	-0.14567532572784214	1
T96	0.4674072367169117	1
T97	-0.025912505190437116	0
T98	-0.6606715847806304	1
T99	0.18826719321231677	1
T101	0.11188264328037584	1
T102	-0.4694358351686643	1
T103	-0.5521225581886446	1
T104	-0.23322648123820688	1
T105	-1.5007493472891247	1
T106	1.0850202413904857	0
T107	1.1588693661284637	0
T108	-1.666741498168316	0
T109	0.5529155990015396	0
T110	-0.41450900353855646	1
T112	-0.7587952175673889	1
T113	-0.2944152519645845	1
T114	0.8123699227462439	1
T115	0.49707252574086014	1
T116	0.37611775364749145	0
T117	0.1734268637394892	1
T118	0.17207310307813112	1
T119	-1.2659073908386704	1
T121	0.4138370168377259	1
T122	0.4816150900736122	0
T123	0.5019116626972451	0
T125	-1.6817855271633793	1
T126	1.0368165807524985	1
T127	1.0562216503374757	1
T128	-0.9611935156598485	1
T129	-1.041604492063425	1
T130	0.4490682503502518	0
T131	-0.1388647372349108	1
T132	-0.3112172704816608	1
T133	-0.2449653761927046	0
T135	-1.0004767016155183	0
T136	-1.3779485476666216	1
T137	0.19830716385232205	1
T138	-0.09695850945343965	1
T139	0.06342230938276172	0
T140	0.2608310634850728	1
T141	1.5747738115416916	0
T142	0.655095912750465	1
T144	0.2972503054423325	1
T145	-0.2651591343950012	1
T146	-0.8007995663253513	0
T147	-1.1446588971982146	1
T148	0.09670178344239964	1
T149	-1.4791636142654314	1
T150	-0.15155241377443007	1
T151	-0.5110542242490554	1
T152	1.6098255973772335	0
T153	1.348267354307458	0
T154	0.9627692536403798	1
T155	-0.1218712332026623	1
T156	2.00807384122346	0
T157	1.6071532418314052	0
T158	-0.6710273628668411	1
T159	-2.4063437035593473	1
T160	-1.7260732351388	1
T161	-2.3030980220446136	1
T162	-1.83680572970294	1
T163	-0.22515790411837802	1
T164	-2.2497986132177035	1
T165	0.42528132459084933	1
T166	1.7839133220588062	0
T167	-0.5383227035946888	0
T168	-1.6075885845571654	0
T170	-2.4489914780100044	1
T171	1.372641130699188	0
T172	0.1503999592615248	1
T173	-0.20601589799924516	1
T174	-1.6406560146282714	1
T175	1.33491474251955	1
T176	1.7683954220806513	0
T177	-0.021731344595284002	1
T178	-0.5063757690176871	0
T179	-0.5725383362491321	0
T180	1.8727765169919939	0
T181	2.1693074014293092	0
T183	0.6830927636899181	0
T184	-2.2426105917475865	0
T185	-0.31507824469617446	1
T186	-0.46331422828799423	1
T187	0.7813535041374604	1
T188	-1.6238420370719326	1
T189	0.4925769385493436	0
T190	0.06382504897113242	0
T191	0.9539675982578413	1
T192	-2.2844218449673055	1
T193	-1.1975816377953765	1
T195	-2.012375906020825	1
T196	1.413730564727677	0
T197	0.5496679294900901	0
T198	1.009255034510126	1
T199	0.1719260547968062	0
T200	1.5219157994454657	0
T201	-0.3366370804393234	0
T202	1.487243995370138	0
T204	1.4172680060887142	0
T205	2.0135375126049997	0
T206	0.6668397943660411	0
T207	1.5797455870412462	0
